"Thompson 's historiographic practice was enabled by and rested on the politics of a fully legitimate left-wing populism , a legitimacy that , although contested and often marginalized , dated back several generations within the political culture of Great Britain . In",post-fascist,"Germany , populism was inevitably associated with the extreme right ( or with rightand left-wing totalitarianism in general ) , and politically engaged scholars , in particular historians , would keep it at bay : history should remain sober and rational ; it should not again become contaminated with this disease .",-1,,,,,
" This resulted , among other things , in a consistent asymmetry in terms of possible transfers between the academic cultures of Great Britain and",post-fascist,"West Germany . Comparing two prominent and , in this context , highly emblematic figures may serve here as an illustration : Ralf Dahrendorf 's sober and poignant observations about the Federal Republic as the successor society of the "" Third Reich "" , which in many ways built on the latter 's ambivalent modernization projects , but also his theory of class struggle in industrial society chimed nicely with the German postwar imperative to evaluate the modernization process since the nineteenth century in an analytical and matter-of-fact way , aiming at generalizations about class and society in late capitalism…",-1,,,,,
Here I cannot go into the whole debate about deploying the label ' fascism ' ( or,post-fascism,", or neofascism ? ) . The cultural Left 's insistence on putting the f-word back on the agenda can be seen as a counterpoint to the right 's Cultural Marxism - but in contrast to Cultural Marxism 's functioning as a fact-starved conspiracy theory , the analytical cogency of the term needs to be demonstrated . ",0,,,,,
"…the very margins of society . Therefore , it might be appropriate to stress at this point the relevance of Markov 's critique to the geographical referent of his own reflections , now in a post-socialist context : Bulgaria . A country that rapidly descended from Second to "" Third World "" . For a fascinating discussion of Bataille 's relevance for contemporary debates on the Left , see Gáspár Miklós Tamás , "" On",Post-fascism,": The Degradation of Universal Citizenship , "" Boston Review : A Political and Literary Forum , ( June 2000 ) , at www.bostonreview.net/world/g-m-tam%C3%A1s-post-fascism ( last accessed December 16 , 2017 ) . 83 . ",1,,,,,
" In the speeches of their leaders , from actionist Ferruccio Parri to monarchist Luigi Einaudi , Risorgimento 's moral legacy turned into a rhetorical call for action .18 Its appeal also functioned as historical legitimization for the new political forces aiming to ground",post-Fascist,"Italy on the values the Resistance .19 Encompassing opposing visions of the anti-Fascist politic spectrum , "" Secondo Risorgimento "" narratives furthermore fostered man disillusioned young Italians to take up arms in the anti-Fascist Resistance f their moral riscatto ( literally "" ransom "" ) . ",-1,,,,,
"This younger generation was educated recent events . Regarding a broader articulation of these "" patterns of conversion , "" se Ward ; for Neorealism in literature , and especially the poetics of the "" chronicle , "" see for a detailed overview of Resistance literature in Italy , see The mutual influence of rhetoric and politics at the basis of the new",post-Fascist,"state in Italy has been evidenced by Despite its prominence during the civil war and in the years immediately followin national Liberation , the "" Secondo Risorgimento "" narrative has a multi-layered histor which predates WWII and will continue in the ensuing decades of the Republican sta through the processes of memorialization of the Resistance . On this topic , see to the civic religion of the fatherland under Fascism , but grew sour with the regime 's ethical failures and military setbacks . As Giaime Pintor stressed in his influential 1943 article "" L ' ora del riscatto ,…",-1,check,,,,
 For an accurate assessment of the many ideological threads of anti-Fascist forces as well as the continuities that characterized the transition from Mussolini 's dictatorship,post-Fascism,", see Ward and Zunino . Drawing from Enrico Rusconi 's essay Se cess di essere una nazione , Schwarz aptly described the early postwar resurgence patriotism as "" patriottismo espiativo . "" For the cultural politics of liberals , Catholics Communists facing the issue of the "" lost generation "" which grew up and fought for regime and had to be won over to democratic values , see La Rovere .",0,check,,,,
The Sicilian Mafia continued to support important factions of center right parties . In the first,post-Fascism,"democratic elections for the Regional Government of Sicily on 20 April 1947 , a coalition of Communist and Socialist parties clinched an unexpected victory over the Christian Democrats . 11 A few days later , on 1 May 1947 , hundreds of Sicilian peasants were 9 . ",-1,check,,,,
" For Finchelstein , populism is an authoritarian form of democracy that emerged first as a reformulation of fascism after World War II . Modern populism arose from the defeat of fascism , as an attempt to reintroduce the fascist experience to democracy . According to the author , Modern populism arose from the defeat of fascism as a novel",postfascism,"attempt to return the fascist experience to the democratic path , thus creating an authoritarian regime form of democracy that would stress social participation combined with intolerance and rejection . In populism , political rights are put under stress but never eradicated . In sum , Finchelstein maintains that modern populism pushes democracy to its limits but does not destroy it , meaning that it is not fascism 's equivalent",1,,,,,
" I wish to problematize the idea that Western Europe starting in the 12th century was a monolithic "" persecuting society , "" especially when it came to religion . People were willing to tolerate more difference in religious practice than has normally been recognized . The",post-Fascist,"transition is still today a controversial period in Italian culture and history , subject to increasing historical , political , and juridical research . Neorealist films and literature epitomized worldwide a country shattered by WWII and twenty years of Fascist rule . ",-1,,,,,
,,,,,,,,
", Robert Gordon , and Michele Battini have argued that Italy constituted an astounding instance of political and institutional continuity for the elites wielding power . Their multidisciplinary contributions shed new light on the role of cultural policies in institutionalizing collective memory or silencing dissenting views . In this broader debate , my work is the first to focus on the intellectual and cultural fluidity of the 1943 -48 early postwar Italy , in which pre-war worldviews were not completely discredited and new ideological oppositions were not clearly defined . Against Redemption strives to restore the full picture of the",post-Fascist,"transition , and its variegated intellectual and aesthetic scenario , in which the cultural and the literary were key battlefields for political hegemony . The 1948 elections determined the partition of Italian culture in line with Christian Democrats and Italian Communists , the two political forces that would dominate the country in the postwar period following transnational Cold War divides . I argue that before that consequential watershed , leading Italian writers such as Alberto Moravia , Carlo Levi , Curzio Malaparte , and Antonio Brancati contested the narratives of national redemption promoted by both Communist and Christian Democrats by…",-1,,,,,
"…the persistence of Fascist mentality in the aftermath of the war . Their vivid depictions tackle harrowing questions that the new political forces left unaddressed , such as the return of traumatized soldiers from the front , with their unbearable load of unsayable memories ; Italian women 's only partial emancipation after Fascism 's defeat ; and , finally , Italian responsibility in WWII , which Mussolini and his cohorts unleashed for imperial pretenses and hurriedly justified on racial grounds . The aim of my study is to restore the intellectual complexity and debate that occurred during the transition to",post-Fascism,"in Italy by highlighting understudied archival materials and reappraising works that have been previously neglected . Thanks to the daily exchange with the AAR community I was able to hone my approach to literary and intellectual history through challenging new questions that are inherently multidisciplinary . In particular , I enlarged the scope of my research with issues such as the persistence of the ideological heritage of Fascism after WWII through its monuments and architecture , and the influence of Catholic imaginary in shaping postwar Italy . frAnco BAldASSo , BArd college became General Director of the Olivetti typewriter company…",-1,,,,,
"…Prize Against Redemption : Literary Dissent during the Transition from Fascism to Democracy in Italy As a Rome Prize Fellow at the American Academy in Rome , I was able to finalize my book manuscript , tentatively titled Against Redemption : Literary Dissent during the Transition from Fascism to Democracy in Italy . My book concentrates on the momentous years between the downfall of Mussolini in July 1943 and the postwar victory of the Christian Democrats in the 1948 elections . The aim of my study is to restore the intellectual complexity and debate that occurred during the transition to",post-Fascism,"by reconsidering the fundamental cultural and intellectual challenges that Italy-in a pivotal moment for European history-confronted after dictatorship , war , and military defeat . Marian and Andrew Heiskell Pre-Doctoral Rome PrizeCommunities of Labor : Adriano Olivetti and the Humanization of Industrial Society I spent the year in Rome conducting research for my dissertation , titled "" Communities of Labor : Adriano Olivetti and the Humanization of Industrial Society . "" This involved extensive archival work at the Fondazione Adriano Olivetti , the Archivio dell ' Accademia Nazionale di San Luca and , south of the city , the Archivio…",same as above,,,,,
"…. Why is it that , except for the 1970 publication of Sequences from a Cinematic Life and a couple of essays , Zavattini did not receive sustained critical attention in the English-speaking world ? Brancaleone convincingly explains Zavattini 's marginalization through his connection with a clichéd idea of neorealism as simple social realism . Although critics such as André Bazin and Gilles Deleuze have long dismantled this reductionist reading , the cliché has persisted . A recent body of studies on both sides of the Atlantic ( which Brancaleone unfortunately does not engage ) have reopened the question of",postfascist,"cinema and its aesthetics . Within this discussion , Zavattini has become a key figure for recognizing the role of neorealism in opening the trajectory of today 's cinema rather than as a tradition we have superseded . Zavattini wrote his most incisive interventions at times of great upheaval-on the eve of the Second World War , in the immediate postwar , and during the Sixties counterculture . The way in which he raised fundamental questions pertaining to the nature of cinema and its task within an urgently lived historical moment continue to resonate . The 1949 Perugia conference on…",-1,,,,,
"…at a time when the proliferation of media interfaces and modes of image production and consumption has endowed the word cinema with an uncertain status ( nostalgic , expanded , dissolved ) , Zavattini 's reflections on what cinema is and could be , the nature of its tasks within a time of upheaval , continues to challenge us . The recent book by Jill Godmilow , Kill the Documentary : A Letter to Filmmakers , Students , and Scholars ( Columbia University Press , 2022 ) , is the latest reminder that the documentarist vision at the heart of",postfascist,"cinema is still an embattled and contested terrain . Although Zavattini is not quoted in Godmilow 's volume , I would argue that Zavattini 's idea of cinema-precariously and productively suspended between reality and fiction , open to contaminations across various media and genres ( the diary form , the cinema journal , the photobook ) - and his sophisticated understanding of reality , make Zavattini 's reflection central to the contemporary debate on a documentary form that is performative and experimental , yet not necessarily , as Godmilow proposes , postrealist . What matters , as always , is…",-1,,,,,
"…In this sea of contradiction , however , there is one central tension that is life-defining for Zavattini 's personality and contribution-this global proponent of an ethical and democratized cinema had been one of the most successful and respected protagonists of Italian culture under the fascist regime . It is standard practice , in order to give a few clear signposts to orient us historically , to divide the twentieth century between a pre-and postwar . We rely automatically on this division despite its historical and theoretical evasiveness , an evasiveness which emerges when we speak instead of fascism and",postfascism,". Wars end but violence and coercion linger on . The question of how this transition should be thought-as a radical break with the past or as continuity-is still debated by historians . Brancaleone in a way embraces both theories : the war and fall of fascism marked a radical shift in Zavattini 's work and poetics and Zavattini was already Zavattini in the Thirties . Paradoxically both statements are true . This being the case , however , a conscious , concerted effort needs to be made to acknowledge and engage with how that is meaningful , even foundational…",0,,,,,
"…of how this transition should be thought-as a radical break with the past or as continuity-is still debated by historians . Brancaleone in a way embraces both theories : the war and fall of fascism marked a radical shift in Zavattini 's work and poetics and Zavattini was already Zavattini in the Thirties . Paradoxically both statements are true . This being the case , however , a conscious , concerted effort needs to be made to acknowledge and engage with how that is meaningful , even foundational , for Zavattini 's work . Zavattini 's passage from fascism to",postfascism,"was not an instantaneous liberation . It was a painful crossing which took up the rest of his life . Using the words of critic Mino Argentieri , who curated the Italian edition of his writings , Zavattini was one of the few Italian intellectuals who tried to face the moral ruins ( much more disastrous than the material devastation ) which fascism left in its wake . His hands are clean , but he feels remorse for not having done more , for having been , with his grumpy acceptance of Fascism and with a doubtful inurement , co-responsible…",-1,,,,,
"…should not strive to liquidate demagogically the work of twenty years but to individuate what were our individual responsibilities and what legacies are still acceptable . ( Author 's translation ) Insistently in those years , Zavattini calls for self-analysis to foster the process of working-through and reconciliation with the past . In a short 1946 piece entitled "" The Red Fishes and the Dishonest , "" he declares , "" we will save ourselves if we will know ourselves . "" Called to fulfill this arduous task , cinema will at once deflect it and artistically fulfill it .",Postfascist,"cinema offered a way to absorb , process , and represent , through a seemingly objective realism , what words could not-the trauma of the war and , more importantly , twenty years of fascism . Zavattini 's postwar poetics is marked by this unresolved relation with the past . As his art evolved , the call for self-analysis was overshadowed . Explaining how the simple fact of meeting the world with a camera could give rise to art , Zavattini wrote in 1953 : In the meantime [ the filmmaker ] should go ; and already in this movement…",-1,,,,,
", are a portent as well as pariah . In the midst of constitutional upheaval and mass population movements , Europe seems ready to embrace its bastard nature only in order to affirm some myth of thorough ? bred European parentage ? sustained nightly by Italian shore patrols scouting for the offensively indigent , presumptuous enough to think they might be entitled to a share of our spoils . While we lecture the inhabitants of the Balkans on the errors of ethnicism and identity politics , Western Europe is lurching towards what the Hungarian philosopher G.M. Tamas has termed '",post-fascism,"': a situation in which the core political issue of what citizenship rights should be has been supplanted by efforts to fence off citizenship itself and define states by who is not allowed to be part of them . Indeed , a hiccup in the throat of the Celtic Tiger , combined with the steady inward drift of our friends from the East , is beginning to show that in Ireland too the powerful sense of nationality that can produce heroic politics and passionate poetry is also the source of dark chaos . It is right , therefore , that…",1,,,,,
"and the woman 's role in bearing and rearing children . For contemporary consumption , the last leads to opposition to abortion , sterilization , and divorce . Though racism is shunned , anti immigrant sentiments are clear in its call for stronger enforcement of immigration laws . There are calls for creation of a professional militia with obligatory service for all men and for a European Union that pre ? serves national identity and reins in Israel . Much that is new is remi ? niscent of that which is old . If the differences between vintage neo-fascism and",post-fascism,"are small , the question that follows is why , after fifty years on the political periphery , is there a resurgence now ? An easy response might be that there is some pathology in the Italian public that renders it susceptible to the call . That answer gets me nowhere , since right-wing populist movements are gaining in popularity all across Europe , in Islam , and in the United States . Undoubtedly there are some aspects of the cur ? rent resurgence that are connected specifically with the Italian experi ? ence , but others stretch more widely…",1,,,,,
"moot . There is no more bi-polar world and no longer a postwar agreement . Additionally , most of those who appear attracted by right-wing political movements are people without any experience of fascism or Naziism , since they reached adulthood after the war . What had been chilling experiences for people living through them can now be romanticized by ones who did not . Fini was , after all , not even born until 1952 , and his political consciousness begins with the miracle years of the 1960 s . Other reasons for the current popular appeal of the",post-fascists,"may be peculiarly Italian . I am reminded of Giovanni Sartori 's theory of "" polarized pluralism , "" developed in the 1960 s and nurtured ing the Alleanza Nazionale , are trying to present themselves as cen ? trists . The political center seems , once again , to be getting crowded . There are , of course , some other explanations for the current rise of the right in Italy that are less theoretically lofty , but perhaps more plausible . The realignment of political parties in Italy since 1992 has been the result , not of the…",1,,,,,
"the centers of power , both the government and the sottogoverno , for the whole of the postwar era . There is , moreover , a degree of legitimacy that the party has received by its association with Silvio Berlusconi and his Forza Italia Party . That , coupled with Fini 's masterful use of public relations and his talented theorist Adolfo Urso 's ability to tailor a pro ? gram with popular appeal , has propelled the party 's rise in fortunes . The Meaning of Fascism in Italy Today 21 doubt it . The resurgence of the neo-or",post-Fascists,"is more likely a rel ? atively temporary phenomenon , the product of confusion in a political landscape where all of the traditional landmarks have been obliterat ? ed . The parties and the issues that dominated Italian politics since the end of the war are now gone . Politicians and voters alike are adrift . For fifty years , Italians often saw a vote for the outlying parties of the left or right as a vehicle for protest , a means of expressing dissatisfaction with the dominant parties and programs . Confusion rather than com ? mitment is more…",0,,,,,
"ations after World War II . Most Italians chose to dismiss the two decades of the Fascist regime as merely the "" great parentheses , "" but a smaller number tended the flame for fifty years . That flickering light is once again burning brightly , and a growing number of Italians are casting their ballots for the contemporary heirs of Mussolini . I person ? ally doubt that Italy will once again choose the fascist path , but four ? teen percent of Italian voters in 1994 and 1995 support the new version of fascism ( the self-proclaimed """,post-fascism,""" ) presented to them by Gianfranco Fini 's Alleanza Nazionale . Examining the Odyssey of the neo-Fascists over five decades is instructive for it underscores how the fascist experience has affected postwar Italy . The results have been the achievement of what earlier neo-Fascist lead ? ers found elusive ? Fini is rated as the most trusted politician in Italy , the party has significant representation in both chambers of Parliament , and for the first time since Mussolini the party entered government in 1994 , albeit briefly , with five ministers and twelve under secretaries . Is there…",1,,,,,
