id,title,isPartOf,publicationYear,doi,docType,docSubType,provider,collection,datePublished,issueNumber,volumeNumber,url,creator,publisher,language,pageStart,pageEnd,placeOfPublication,keyphrase,wordCount,pageCount,outputFormat,,,,,
http://www.jstor.org/stable/41238349,Body Fascism in Britain: Building the Blackshirt in the Inter-War Period,Contemporary European History,2011,,article,research-article,jstor,,01/05/2011,2,20,http://www.jstor.org/stable/41238349,JULIE GOTTLIEB,Cambridge University Press,eng,111,136,,fascist; body fascism; mosley; oswald mosley; british; masculinity; sir oswald; britain; british union; physical fitness,13676,26,unigrams; bigrams; trigrams,,,,,
ark://27927/phw62981xk,"Decolonization and Denazification: Student Politics, Cultural Revolution, and the Affective Labor of Remembering",Critical Philosophy of Race,2017,,article,"""article""",portico,,17/07/2017,2,5,,Antje Schuhmann,Project MUSE,eng,296,319,,apartheid; affective labor; antje schuhman; africa; collective; racism; decolonization; critical philosophy; politics; germany,9164,24,unigram; bigram; trigram,,,,,
ark://27927/pgh1f8b9b89,The Return of the Avant‐Garde in Post‐war West Germany,Australian Journal of Politics & History,2014,10.1111/ajph.12067,article,article,portico,,01/09/2014,3,60,http://doi.org/10.1111/ajph.12067,Mia Lee,"John Wiley & Sons, Inc.",eng,405,415,,situationist international; artists; modernism; national socialist; asger jorn; munich; dieter kunzelmann; western marxism; everyday life; debord,6376,11,unigram; bigram; trigram,,,,,
ark://27927/phx5whxptnr,False Consciousness and Ideology in Marxist Theory,Acta Sociologica,1981,10.1177/000169938102400104,article,,portico,,01/01/1981,01-Feb,24,http://doi.org/10.1177/000169938102400104,Ron Eyerman,SAGE Publications,eng,43,56,,false consciousness; ideology; working; capitalist; gramsci; social; marxist; consciousness and ideology; frankfurt school; bourgeoise,7044,14,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/40203575,"Exclusionary Populism in Austria, Italy, and Switzerland",International Journal,2001,,article,research-article,jstor,,01/07/2001,3,56,http://www.jstor.org/stable/40203575,Hans-Georg Betz,"Sage Publications, Ltd.",eng,393,420,,exclusionary populism; blocher; haider; umberto bossi; georg betz; lega nord; immigration; switzerland; parties; hans georg betz,11002,28,unigrams; bigrams; trigrams,,,,,
ark://27927/pjb4ht1vn16,"Patriarchal Authoritarianism Reloaded: Gender Violence, Policy Conflict, and the Resurgence of the Far Right in Spain",PoLAR: Political and Legal Anthropology Review,2022,10.1111/plar.12484,article,article,portico,,01/05/2022,1,45,http://doi.org/10.1111/plar.12484,Marta Cabezas,"John Wiley & Sons, Inc.",eng,56,76,,gender violence; feminist; feminism; unidas podemos; madrid; patriarchal; spanish; violence policy; partido popular; wwwyoutubecom watch,9025,21,unigram; bigram; trigram,,,,,
ark://27927/pjc2ksgdx9,Notes,"Immigration, Integration, and Security",2008,,chapter,,portico,,01/01/2008,,,,"Reich, Simon; Chebel D'Appollonia, Ariane",University of Pittsburgh Press,eng,,,,terrorism; policy; immigration; religion; koopmans; contested citizenship; security; europe; global; politics,55216,76,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/43947907,Redefining the Individual in West Germany: Spur's and Geflecht's Authorship (1957-67),The Art Bulletin,2016,,article,research-article,jstor,,01/03/2016,1,98,http://www.jstor.org/stable/43947907,Jacopo Galimberti,"Taylor & Francis, Ltd.",eng,101,122,,heimrad prem; collective; zimmer; helmut sturm; artists; biennale; kunzelmann; lothar fischer; spur members; individual,16173,22,unigrams; bigrams; trigrams,,,,,
ark://27927/phx5z1trtms,Farewell Johannes,Capital & Class,2004,10.1177/030981680408300107,article,research-article,portico,,01/07/2004,2,28,http://doi.org/10.1177/030981680408300107,Werner Bonefeld,SAGE Publications,eng,167,177,,agnoli; human emancipation; ira freiburg; categorical imperative; freiburg agnoli; critique; johannes agnoli; johannes; social; bourgeois,3762,11,unigram; bigram; trigram,,,,,
ark://27927/pbd93zfnb8,Introduction,The Cultural Return,2012,,chapter,,portico,,01/01/2012,,,,Susan Hegeman,University of California Press,eng,1,20,,culture; cultural studies; anthropology; disciplinary; cultural turn; specifi; usages; political; moment; global,8259,20,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/3180770,Volume Information,Journal of Contemporary History,2001,,article,misc,jstor,,01/10/2001,4,36,http://www.jstor.org/stable/3180770,,"Sage Publications, Ltd.",eng,695,699,,reviewed; mark roseman; edward acton; corfield; lucy noakes; john whittam; history; neil caplan; pauline elkes; penelope,1932,5,unigrams; bigrams; trigrams,,,,,
ark://27927/pjbj15ws5q6,Notes,Prison Terms,2002,,chapter,,portico,,01/01/2002,,,,"Nerenberg, Ellen",University of Toronto Press,eng,,,,fascism; italian; fascist virilities; turin einaudi; spackman fascist; negli anni; fascist italy; milan mursia; spackman fascist virilities; dino buzzati,34892,46,unigram; bigram; trigram,,,,,
ark://27927/pgg229ptxn5,Commemorative acts as discursive resources of historical identity,Culture & Psychology,2013,10.1177/1354067X12464982,article,research-article,portico,,01/03/2013,1,19,http://doi.org/10.1177/1354067X12464982,Giuseppe Mininni; Graziana Curigliano; Amelia Manuti,SAGE Publications,eng,33,59,,discursive; discorso pronunciato; memory; discourse; historical; identity; responsibility; historical identity; history; institutional,14973,27,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/j.ctv5vdd75.3,Introduction,"Politicizing Digital Space: Theory, The Internet, and Renewing Democracy",2017,,chapter,introduction,jstor,,01/01/2017,,3,http://www.jstor.org/stable/j.ctv5vdd75.3,Trevor Garrison Smith,University of Westminster Press,eng,1,10,London,politics; internet; arendt; online; political realm; politicizing digital; chantal mouffe; thinkers; politicizing digital space; digital space,4719,9,unigrams; bigrams; trigrams; fullText,,,,,
ark://27927/pjbcbzvph03,Issue Matter,Agora,2019,,article,null,portico,,03/12/2019,03-Apr,37,,,Universitetsforlaget / Scandinavian University Press,eng,,,,adorno; historien; kritisk; britiske; kritisk teori; stuart hall; seg selv; hegels; det britiske; verden,173223,372,unigram; bigram; trigram,,,,,
ark://27927/pjb5jd79p66,Imagining a World without the Universal Declaration of Human Rights,World Politics,2022,10.1017/S0043887122000065,article,research-article,portico,,01/07/2022,3,74,http://doi.org/10.1017/S0043887122000065,Zachary Elkins; Tom Ginsburg,Cambridge University Press,eng,327,366,,rights; constitutions; drafters; world polit; without the udhr; national constitutions; imagining; morsink; formative; udhr drafters,14952,40,unigram; bigram; trigram,,,,,
ark://27927/phxwqjrv2t,5. The Failure of FascistInternationalism,Facsism,2015,,chapter,,portico,,01/01/2015,,,,"Gottfried, Paul",Northern Illinois University Press,eng,105,128,,fascist; mosley; fascist internationalism; gilles; italian; catholic; european; mussolini; italian fascist; italian fascism,10916,24,unigram; bigram; trigram,,,,,
ark://27927/phzmjg6nq9c,Political History in Italy,Journal of Policy History,2009,10.1017/S0898030609090137,article,,portico,,01/07/2009,3,21,http://doi.org/10.1017/S0898030609090137,,Cambridge University Press,eng,282,297,,italian; rome bari; gianfranco pasquino; political; storia; italian political; fascism; repubblica; historians; bologna,7184,16,unigram; bigram; trigram,,,,,
ark://27927/pjbmxjk0tzv,NOTES,From Fascism to Populism in History,2019,,chapter,,portico,,20/08/2019,,,,Federico Finchelstein,University of California Press,eng,261,320,,fascism; benito mussolini; zeev sternhell; sternhell; populism; donald trump; university; transatlantic fascism; federico finchelstein; constantin iordachi,29288,60,unigram; bigram; trigram,,,,,
ark://27927/pbd87zngjt,Introduction: Mapping Postsocialist Cultural Studies,Over the Wall/After the Fall,2004,,chapter,,portico,,01/01/2004,,,,"Magdalena J. Zaborowska, Sibelan Forrester, Elena Gapova",Indiana University Press,eng,1,36,,eastern europe; soviet; cultural; western; soviet bloc; iron curtain; polish; political; borders; poland,16703,36,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/26797301,GROUP PORTRAIT,The Historical Journal,2018,,article,research-article,jstor,,01/06/2018,2,61,http://www.jstor.org/stable/26797301,PERRY WILLSON,Cambridge University Press,eng,431,451,,fascist; dittrich johansen; provincial fiduciaries; gorjux bruschi; marani; marani argnani; fasci femminili; femminili; angiola moretti; franceschini,11102,21,unigrams; bigrams; trigrams,,,,,
http://www.jstor.org/stable/43868091,"Immobilizing mobility: Border ethnography, illiberal democracy, and the politics of the ""refugee crisis"" in Hungary",American Ethnologist,2016,,article,research-article,jstor,,01/02/2016,1,43,http://www.jstor.org/stable/43868091,ANNASTIINA KALLIUS; DANIEL MONTERESCU; PREM KUMAR RAJARAM,Wiley,eng,25,37,,migrants; hungarian; hungary; refugees; humanitarian; border; american ethnologist; budapest; migszol csoport; mobility,10058,13,unigrams; bigrams; trigrams,,,,,
ark://27927/pbd6csrkrg,Bibliography,Populist radical right parties in EuropePopulist radical right parties in Europe,2009,10.1017/CBO9780511492037.017,chapter,,portico,,01/01/2009,,,https://doi.org/10.1017/CBO9780511492037.017,Cas Mudde,Cambridge University Press,eng,312,367,,extreme right; europe; leske budrich; opladen leske; politics; opladen leske budrich; parties; western europe; radical right; cas mudde,21363,56,unigram; bigram; trigram,,,,,
ark://27927/pjbh3tcckmh,The shiny new object: Deconstructing the patient‐oriented paradigm in health sciences,Journal of Evaluation in Clinical Practice,2023,10.1111/jep.13823,article,article,portico,,01/08/2023,5,29,http://doi.org/10.1111/jep.13823,Pier‐Luc Turcotte PhD;  OT;  RN; Stuart J. Murray PhD; Dave Holmes PhD,"John Wiley & Sons, Inc.",eng,700,708,,oriented research; participatory research; patient; patient oriented research; health; health sciences; nomad science; engagement; involv engagem; turcotte,10195,9,unigram; bigram; trigram,,,,,
ark://27927/phzk4q8d5mk,Anatomy of Resentment,Re:Thinking Europe: Thoughts on Europe,2017,,chapter,,portico,,01/01/2017,,,,Ivan Krastev,Amsterdam University Press,eng,,,,europeans; europe; refugees; refugee crisis; east europeans; european union; central; central europeans; eastern europe; solidarity,3739,12,unigram; bigram; trigram,,,,,
ark://27927/phzjqtf3k1n,American Freedom and Islamic Fascism: Ideology in the Hall of Mirrors,Theory & Event,2011,10.1353/tae.2011.0031,article,Article,portico,,27/08/2011,3,14,http://doi.org/10.1353/tae.2011.0031,Ellen. McLarney,Project MUSE,eng,0,0,,islamic; islamic fascism; totalitarianism; freedom; sayyid qutb; muslim; muslim brotherhood; american; sexual; religious,18087,23,unigram; bigram; trigram,,,,,
ark://27927/pbq761gfq,"HISTORIC, ECONOMIC, AND CULTURAL BACKGROUND",Italian Post-Neorealist Cinema,2012,10.3366/j.ctt3fgt89.6,chapter,,portico,,09/10/2012,,,https://doi.org/10.3366/j.ctt3fgt89.6,Luca Barattoni,Edinburgh University Press,eng,7,47,,barattoni printindd; neorealist cinema; italian; post neorealist; political; post neorealist cinema; historic economic; economic; italian post neorealist; italian post,19472,41,unigram; bigram; trigram,,,,,
ark://27927/phx3k7g4fjf,Contradictory Concepts: An Essay on the Semantic Structure of Religious Discourses,Contributions to the History of Concepts,2015,10.3167/choc.2015.100104,article,"""research-article""",portico,,01/06/2015,1,10,http://doi.org/10.3167/choc.2015.100104,Hölscher Lucian,Berghahn,eng,69,88,,lucian hölscher; concepts; jenseits; religion; religious; religious concepts; hölscher jenseits; contradictory; concepts lucian; secular,9797,20,unigram; bigram; trigram,,,,,
ark://27927/pjbkhv1m3xs,3 Uncomfortable Memories of Fascist Italy,Reading Memory Sites Through Signs,2023,,chapter,,portico,,01/01/2023,,,,Anna Maria Lorusso,Amsterdam University Press,eng,,,,fascist; brescia; maria lorusso; statue; ideological; fascist italy; uncomfortable memories; piazza vittoria; anna maria lorusso; sculpture,9075,20,unigram; bigram; trigram,,,,,
ark://27927/phz6qpjccbm,The Unraveling of the Post-1989 Order,Journal of Democracy,2016,10.1353/jod.2016.0065,article,article,portico,,19/10/2016,4,27,http://doi.org/10.1353/jod.2016.0065,Ivan Krastev,Project MUSE,eng,88,98,,democracy; jowitt; populism; fukuyama; europe; krastev; liberal; migration; east europeans; identities,4783,11,unigram; bigram; trigram,,,,,
ark://27927/pbq761hs0,INDEX,Italian Post-Neorealist Cinema,2012,10.3366/j.ctt3fgt89.16,chapter,,portico,,09/10/2012,,,https://doi.org/10.3366/j.ctt3fgt89.16,Luca Barattoni,Edinburgh University Press,eng,269,292,,cinema; neorealism; rossellini; barattoni printindd; neorealist cinema; pasolini; post neorealist; italian; antonioni; catholic church,11446,24,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/26779154,Populism in Latin America,Latin American Politics and Society,2019,,article,book-review,jstor,,01/04/2019,1,61,http://www.jstor.org/stable/26779154,Germán Campos-Herrera; Sebastián Umpierrez de Reguero; Robert R. Barr; Elena Block; Federico Finchelstein; Robert S. Jansen,Cambridge University Press,eng,148,159,,populism; rovira kaltwasser; political; ideational approach; chávez; populist mobilization; mobilization; campos herrera; cristóbal rovira; fascism,5601,12,unigrams; bigrams; trigrams,,,,,
ark://27927/pjb22bgfzw8,In Search of Black Italia,Transition,2017,,article,research-article,portico,,01/01/2017,123,2017,,Camilla Hawthorne,Indiana University Press,eng,152,174,,italian; black italians; blackness; black italia; mediterranean; african; racism; transition; roj walker; black mediterranean,6642,23,unigram; bigram; trigram,,,,,
ark://27927/phzf9hdg9jb,Focalizing new-Fascism: Right politics and integralisms in contemporary Italy,Environment and Planning C: Politics and Space,2020,10.1177/2399654419871303,article,,portico,,01/05/2020,3,38,http://doi.org/10.1177/2399654419871303,Sabrina Stallone; Luiza Bialasiewicz,SAGE Publications,eng,423,442,,fascist; italian; politics; focalization; epc politics; new fascist; pineta dux; holmes; magnificat; movements,11540,20,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/48586377,Reconstructing the Self and the City,The German Quarterly,2020,,article,research-article,jstor,,01/01/2020,1,93,http://www.jstor.org/stable/48586377,Kathryn Sederberg,American Association of Teachers of German,eng,37,55,,koeppen; bei betty; wolfgang koeppen; postwar; halben; rubble; elisabeth; screenplay; rubble films; german,8738,19,unigrams; bigrams; trigrams,,,,,
ark://27927/pbf3p9q03w,Index,The Authority of Everyday Objects,2004,10.1525/j.ctt1pp59q.15,chapter,,portico,,10/05/2004,,,https://doi.org/10.1525/j.ctt1pp59q.15,PAUL BETTS,University of California Press,eng,339,348,,design; milan triennale; design council; postwar; ulm institute; kunst dienst; bauhaus; brussels exposition; functionalism; culture,4591,10,unigram; bigram; trigram,,,,,
http://www.jstor.org/stable/26554668,"Sentencing and Penal Policies in Italy, 1985–2015",Crime and Justice,2016,,article,research-article,jstor,,01/01/2016,,45,http://www.jstor.org/stable/26554668,Alessandro Corda,The University of Chicago Press,eng,107,173,,prosecutors; penal policies; adversarial; criminal; pretrial; pretrial hearing; italian; sentencing; judges; assize courts,24652,67,unigrams; bigrams; trigrams,,,,,
ark://27927/phx643sdqx0,The Guardian of the 'Sacred Flame': The Failed Political Resurrection of Sir Oswald Mosley after 1945,Journal of Contemporary History,1998,10.1177/002200949803300204,article,,portico,,01/04/1998,2,33,http://doi.org/10.1177/002200949803300204,Richard C. Thurlow,SAGE Publications,eng,241,254,,mosley; fascism; union movement; saunders; british; oswald mosley; political; internment; robert saunders; british fascism,6847,14,unigram; bigram; trigram,,,,,
